content_id,creator_id,published_date,content_type,genre,ai_model,is_remix
1,1553,2026-03-14,Reel,Fantasy,Seedance,False
2,6001,2026-04-06,Short Film,Comedy,Veo,False
3,6269,2026-04-26,Short Film,Horror,Runway,False
4,7222,2026-01-19,Reel,Fantasy,Kling,False
5,9807,2026-03-30,Image,Cinematic,Seedance,False
6,160,2026-06-07,Mini,Comedy,Veo,False
7,9372,2026-07-28,Short Film,Sci-Fi,Other,False
8,395,2026-07-24,Image,Action,Veo,False
9,7591,2026-06-02,Remix,Comedy,Kling,True
10,7057,2026-08-31,Reel,Drama,Runway,False
11,4940,2026-05-22,Remix,Sci-Fi,Kling,True
12,1907,2026-03-23,Remix,Action,Veo,True
13,2419,2026-01-16,Reel,Fantasy,Veo,False
14,9972,2026-05-16,Remix,Cinematic,Runway,True
15,7881,2026-04-17,Image,Comedy,Seedance,False
16,7962,2026-03-26,Reel,Action,Veo,False
17,8516,2026-05-23,Image,Comedy,Seedance,False
18,9875,2026-03-06,Reel,Comedy,Kling,False
19,7693,2026-03-20,Reel,Action,Kling,False
20,4608,2026-01-17,Reel,Action,Other,False
21,4381,2026-02-07,Mini,Fantasy,Kling,False
22,1846,2026-03-31,Reel,Anime,Other,False
23,2633,2026-05-22,Short Film,Anime,Other,False
24,7912,2026-02-17,Short Film,Cinematic,Runway,False
25,5319,2026-08-13,Reel,Anime,Runway,False
26,4117,2026-06-19,Reel,Sci-Fi,Veo,False
27,5618,2026-04-25,Reel,Cinematic,Other,False
28,6829,2026-01-15,Reel,Action,Runway,False
29,2389,2026-08-04,Remix,Comedy,Kling,True
30,3269,2026-01-21,Reel,Anime,Other,False
31,2888,2026-01-18,Short Film,Fantasy,Veo,False
32,589,2026-03-12,Short Film,Horror,Veo,False
33,943,2026-02-26,Short Film,Fantasy,Runway,False
34,9760,2026-07-29,Remix,Anime,Other,True
35,3108,2026-07-29,Reel,Cinematic,Veo,False
36,1713,2026-05-09,Reel,Horror,Other,False
37,407,2026-08-03,Reel,Sci-Fi,Seedance,False
38,4002,2026-07-18,Image,Cinematic,Veo,False
39,7314,2026-03-05,Mini,Cinematic,Veo,False
40,9047,2026-01-20,Reel,Drama,Veo,False
41,7550,2026-03-01,Image,Fantasy,Kling,False
42,5250,2026-05-07,Image,Cinematic,Kling,False
43,9883,2026-06-09,Reel,Fantasy,Seedance,False
44,8607,2026-05-07,Short Film,Horror,Runway,False
45,6576,2026-05-13,Mini,Anime,Runway,False
46,8022,2026-06-21,Reel,Documentary,Seedance,False
47,4165,2026-05-30,Mini,Comedy,Veo,False
48,9259,2026-06-09,Mini,Comedy,Kling,False
49,3527,2026-02-11,Reel,Drama,Veo,False
50,7314,2026-07-18,Mini,Comedy,Veo,False
51,9983,2026-07-18,Reel,Sci-Fi,Kling,False
52,194,2026-06-28,Mini,Action,Kling,False
53,799,2026-01-21,Mini,Fantasy,Runway,False
54,5183,2026-06-21,Remix,Horror,Other,True
55,6428,2026-03-14,Reel,Documentary,Kling,False
