creator_id,user_id,creator_join_date,creator_tier,creator_country
1,13366,2026-06-05,Established,United Kingdom
2,8182,2026-06-21,Growing,India
3,2606,2026-04-29,Growing,Germany
4,2852,2026-05-21,Emerging,Other
5,8072,2026-05-16,Emerging,Germany
6,14353,2026-03-21,Emerging,Nigeria
7,62,2026-05-12,Emerging,Other
8,6946,2026-01-21,Growing,India
9,12954,2026-06-03,Growing,India
10,13593,2026-05-01,Growing,India
11,4713,2026-04-12,Established,Canada
12,11389,2026-08-14,Emerging,United Kingdom
13,13783,2026-07-12,Established,United States
14,14299,2026-03-09,Growing,United States
15,1137,2026-08-03,Emerging,Other
16,12957,2026-01-23,Growing,India
17,2941,2026-02-05,Emerging,United Kingdom
18,14225,2026-02-05,Emerging,India
19,7029,2026-05-09,Emerging,India
20,12569,2026-07-20,Emerging,United States
21,3336,2026-02-07,Emerging,Nigeria
22,1177,2026-05-18,Emerging,United States
23,14603,2026-02-04,Established,Nigeria
24,4609,2026-04-19,Growing,Canada
25,2244,2026-08-24,Emerging,India
26,1276,2026-03-18,Emerging,Canada
27,3378,2026-05-04,Established,Nigeria
28,5969,2026-06-05,Emerging,United States
29,2658,2026-02-24,Emerging,United Kingdom
30,10806,2026-01-05,Growing,Nigeria
31,10374,2026-04-25,Emerging,India
32,5793,2026-01-08,Growing,India
33,11268,2026-04-19,Emerging,United Kingdom
34,6254,2026-08-05,Emerging,India
35,9795,2026-01-10,Growing,Canada
36,743,2026-01-28,Top Creator,Nigeria
37,57,2026-05-15,Established,United States
38,1830,2026-02-16,Emerging,Other
39,7235,2026-01-14,Emerging,United Kingdom
40,7198,2026-07-21,Emerging,United States
41,5740,2026-05-27,Growing,India
42,9690,2026-06-07,Emerging,Canada
43,6137,2026-07-30,Established,Other
44,11326,2026-03-16,Emerging,India
45,5052,2026-04-14,Emerging,India
46,6893,2026-01-10,Emerging,India
47,996,2026-07-01,Growing,Other
48,9186,2026-05-29,Emerging,United Kingdom
49,5705,2026-01-07,Emerging,United Kingdom
50,10719,2026-06-23,Growing,Canada
51,4540,2026-04-14,Emerging,Other
52,4587,2026-08-16,Emerging,India
53,3261,2026-04-23,Emerging,India
54,9171,2026-05-22,Established,Other
55,13204,2026-04-06,Established,Nigeria
56,13910,2026-08-13,Emerging,Nigeria
57,3842,2026-02-11,Emerging,Germany
58,3963,2026-01-30,Growing,India
59,255,2026-01-12,Growing,India
60,5749,2026-06-17,Emerging,India
61,4546,2026-03-26,Growing,United States
62,4930,2026-08-24,Growing,Other
63,8559,2026-07-10,Established,United States
64,6335,2026-01-20,Growing,Canada
65,5869,2026-05-09,Emerging,United States
66,13423,2026-08-02,Growing,India
67,8698,2026-06-14,Emerging,Other
68,3781,2026-03-26,Emerging,United States
69,13165,2026-06-10,Emerging,Nigeria
70,1867,2026-01-14,Growing,Nigeria
71,9551,2026-04-11,Emerging,India
72,12629,2026-04-27,Established,Other
73,10622,2026-01-29,Growing,Nigeria
74,14179,2026-07-26,Emerging,United States
75,4297,2026-06-24,Emerging,Canada
76,3936,2026-05-13,Emerging,United States
77,11459,2026-04-28,Growing,United States
78,2019,2026-01-20,Emerging,United Kingdom
79,5265,2026-03-09,Emerging,United States
80,11172,2026-07-03,Emerging,India
81,13498,2026-07-07,Growing,United Kingdom
82,4088,2026-06-15,Emerging,United Kingdom
83,10688,2026-04-02,Emerging,Nigeria
84,4979,2026-07-07,Established,United States
85,10697,2026-03-10,Established,United States
86,8995,2026-02-10,Emerging,Germany
87,10664,2026-07-27,Emerging,Other
88,6862,2026-04-07,Emerging,United States
89,9207,2026-07-02,Growing,Nigeria
90,11600,2026-02-26,Emerging,Canada
91,2577,2026-07-31,Emerging,Nigeria
92,4263,2026-07-11,Emerging,India
93,1011,2026-02-16,Growing,India
94,12926,2026-08-19,Growing,Germany
95,9674,2026-07-02,Growing,Germany
96,6835,2026-04-25,Emerging,United Kingdom
97,10437,2026-04-27,Established,India
98,7091,2026-05-08,Growing,United States
99,1304,2026-04-05,Growing,India
100,5400,2026-05-03,Emerging,Other
101,10232,2026-01-24,Emerging,Nigeria
102,5932,2026-05-31,Top Creator,India
103,4765,2026-07-09,Established,India
104,3412,2026-01-12,Emerging,United Kingdom
105,10166,2026-07-27,Emerging,India
106,9450,2026-01-23,Emerging,India
107,12669,2026-07-18,Emerging,India
108,10968,2026-02-11,Emerging,Nigeria
109,6034,2026-02-25,Emerging,India
110,9406,2026-07-18,Growing,United States
111,9989,2026-06-15,Emerging,Other
112,14236,2026-08-13,Top Creator,Other
113,9605,2026-08-03,Emerging,United States
114,4089,2026-06-30,Emerging,India
115,13998,2026-01-14,Established,United States
116,9938,2026-07-09,Growing,Germany
117,1999,2026-02-23,Emerging,Other
118,9274,2026-01-10,Emerging,India
119,14149,2026-03-18,Emerging,Germany
120,1376,2026-05-15,Growing,Other
121,11986,2026-05-07,Growing,Nigeria
122,12415,2026-03-22,Emerging,India
123,1558,2026-01-01,Emerging,India
124,5822,2026-04-24,Emerging,India
125,14632,2026-08-23,Emerging,United States
126,1355,2026-05-05,Emerging,Nigeria
127,8025,2026-04-29,Established,United States
128,11937,2026-01-11,Growing,Other
129,1138,2026-03-19,Emerging,United States
130,6059,2026-08-20,Growing,United States
131,5062,2026-02-01,Emerging,Other
132,10167,2026-06-02,Emerging,Other
133,4998,2026-08-10,Growing,Other
134,14611,2026-01-21,Emerging,United Kingdom
135,11488,2026-08-18,Emerging,Other
136,14049,2026-07-02,Emerging,Canada
137,12157,2026-05-13,Growing,United States
138,5027,2026-01-08,Growing,Nigeria
139,14550,2026-02-01,Growing,India
140,6812,2026-08-15,Emerging,United Kingdom
141,12215,2026-03-31,Growing,India
142,12036,2026-06-16,Growing,Other
143,9251,2026-06-30,Growing,United Kingdom
144,1416,2026-06-06,Growing,Germany
145,13565,2026-04-22,Established,India
146,9479,2026-03-23,Emerging,Germany
147,13772,2026-01-26,Emerging,India
148,12875,2026-08-22,Growing,Germany
149,6825,2026-01-17,Emerging,United Kingdom
150,6331,2026-03-15,Established,Nigeria
151,2386,2026-04-14,Emerging,India
152,2856,2026-01-21,Emerging,Other
153,11395,2026-04-10,Top Creator,Nigeria
154,1849,2026-01-12,Emerging,Nigeria
155,8737,2026-07-02,Emerging,India
156,11493,2026-04-22,Emerging,India
157,8872,2026-08-08,Growing,United Kingdom
158,3416,2026-05-29,Emerging,United States
159,566,2026-01-19,Emerging,Nigeria
160,8388,2026-01-05,Established,United States
161,2112,2026-03-30,Emerging,India
162,13462,2026-06-26,Growing,Nigeria
163,6345,2026-07-16,Emerging,United States
164,1184,2026-04-21,Emerging,Nigeria
165,13963,2026-08-11,Growing,United Kingdom
166,12435,2026-03-18,Emerging,Nigeria
167,12413,2026-06-14,Emerging,United States
168,7733,2026-08-08,Growing,United Kingdom
169,6225,2026-08-12,Emerging,Other
170,13795,2026-05-24,Growing,Nigeria
171,2220,2026-01-29,Emerging,Other
172,379,2026-03-23,Growing,India
173,2290,2026-04-03,Emerging,United States
