user_id,signup_date,acquisition_source,country,user_type,signup_month
1,2026-04-13,Referral,India,Creator,2026-04
2,2026-06-29,TikTok,Canada,Creator,2026-06
3,2026-04-03,Referral,United States,Creator,2026-04
4,2026-01-15,X,Nigeria,Creator,2026-01
5,2026-04-17,Referral,Nigeria,Creator,2026-04
6,2026-03-13,Paid Social,United States,Creator,2026-03
7,2026-07-08,YouTube,India,Creator,2026-07
8,2026-01-21,Paid Social,India,Creator,2026-01
9,2026-04-13,Organic,United States,Creator,2026-04
10,2026-05-02,TikTok,Nigeria,Creator,2026-05
11,2026-07-30,Organic,Canada,Creator,2026-07
12,2026-08-03,Organic,India,Creator,2026-08
13,2026-03-16,Referral,Other,Creator,2026-03
14,2026-07-22,Organic,India,Creator,2026-07
15,2026-03-29,Instagram,United States,Creator,2026-03
16,2026-04-27,X,India,Creator,2026-04
17,2026-04-10,X,United Kingdom,Creator,2026-04
18,2026-04-14,Instagram,United Kingdom,Creator,2026-04
19,2026-06-01,Referral,Other,Creator,2026-06
20,2026-05-11,Organic,United States,Creator,2026-05
21,2026-05-30,TikTok,India,Creator,2026-05
22,2026-02-22,X,Canada,Viewer,2026-02
23,2026-01-02,YouTube,United Kingdom,Creator,2026-01
24,2026-03-29,TikTok,Other,Viewer,2026-03
25,2026-08-24,Referral,India,Creator,2026-08
26,2026-06-07,TikTok,United Kingdom,Viewer,2026-06
27,2026-02-07,TikTok,India,Creator,2026-02
28,2026-05-10,Organic,Nigeria,Creator,2026-05
29,2026-07-11,X,India,Creator,2026-07
30,2026-07-07,YouTube,United Kingdom,Creator,2026-07
31,2026-01-21,Organic,United Kingdom,Viewer,2026-01
32,2026-06-10,TikTok,India,Creator,2026-06
33,2026-07-23,Referral,United States,Creator,2026-07
34,2026-02-27,TikTok,United States,Creator,2026-02
35,2026-01-22,Organic,India,Creator,2026-01
36,2026-08-24,YouTube,India,Viewer,2026-08
37,2026-03-30,Organic,United States,Creator,2026-03
38,2026-02-18,Paid Social,Canada,Creator,2026-02
39,2026-08-07,Organic,United States,Creator,2026-08
40,2026-02-28,YouTube,United States,Creator,2026-02
41,2026-06-19,Instagram,Other,Creator,2026-06
42,2026-08-08,Referral,India,Viewer,2026-08
43,2026-07-07,Organic,Canada,Creator,2026-07
44,2026-07-27,YouTube,Nigeria,Creator,2026-07
45,2026-01-15,X,Other,Viewer,2026-01
46,2026-07-09,Instagram,United States,Viewer,2026-07
47,2026-07-09,Instagram,United Kingdom,Viewer,2026-07
48,2026-06-24,YouTube,India,Viewer,2026-06
49,2026-07-09,Paid Social,Other,Creator,2026-07
50,2026-02-20,Organic,United States,Viewer,2026-02
51,2026-04-18,Organic,Nigeria,Viewer,2026-04
52,2026-02-24,Referral,India,Creator,2026-02
53,2026-03-05,Organic,Other,Creator,2026-03
54,2026-05-11,Paid Social,United Kingdom,Creator,2026-05
55,2026-08-17,X,India,Creator,2026-08
56,2026-02-20,YouTube,India,Creator,2026-02
57,2026-05-15,Organic,United States,Viewer,2026-05
58,2026-01-21,Organic,India,Creator,2026-01
59,2026-03-14,YouTube,United States,Viewer,2026-03
60,2026-06-16,Paid Social,Other,Creator,2026-06
61,2026-01-18,Paid Social,United Kingdom,Creator,2026-01
62,2026-05-12,Organic,Other,Viewer,2026-05
63,2026-03-30,Organic,United States,Creator,2026-03
64,2026-03-01,Organic,United Kingdom,Viewer,2026-03
65,2026-01-14,Referral,United States,Creator,2026-01
66,2026-01-09,TikTok,United States,Creator,2026-01
67,2026-03-31,Organic,Nigeria,Viewer,2026-03
68,2026-02-22,Organic,United States,Creator,2026-02
69,2026-05-10,TikTok,Other,Creator,2026-05
70,2026-03-25,Paid Social,Nigeria,Creator,2026-03
71,2026-04-02,Instagram,Germany,Viewer,2026-04
72,2026-04-21,Organic,United Kingdom,Viewer,2026-04
73,2026-07-07,TikTok,United States,Creator,2026-07
74,2026-07-18,TikTok,United States,Creator,2026-07
75,2026-06-21,Organic,United States,Creator,2026-06
76,2026-01-08,Organic,India,Viewer,2026-01
77,2026-06-24,YouTube,Canada,Creator,2026-06
78,2026-02-04,Organic,Other,Creator,2026-02
79,2026-07-25,Organic,India,Creator,2026-07
80,2026-03-22,TikTok,Other,Viewer,2026-03
81,2026-06-13,Referral,India,Creator,2026-06
82,2026-02-19,X,Nigeria,Creator,2026-02
83,2026-04-14,YouTube,United States,Creator,2026-04
84,2026-05-12,X,India,Creator,2026-05
85,2026-01-02,YouTube,India,Creator,2026-01
86,2026-05-14,Organic,United States,Creator,2026-05
87,2026-02-23,Paid Social,India,Creator,2026-02
88,2026-04-16,Organic,India,Creator,2026-04
89,2026-01-04,TikTok,India,Viewer,2026-01
90,2026-02-23,Referral,India,Creator,2026-02
91,2026-08-09,Instagram,India,Creator,2026-08
92,2026-07-10,Paid Social,Nigeria,Viewer,2026-07
93,2026-05-26,Instagram,Germany,Viewer,2026-05
94,2026-08-06,Referral,India,Creator,2026-08
95,2026-02-13,Referral,India,Creator,2026-02
96,2026-06-11,Paid Social,Canada,Creator,2026-06
97,2026-07-21,Paid Social,India,Creator,2026-07
98,2026-07-09,Paid Social,Canada,Viewer,2026-07
99,2026-08-16,Referral,India,Creator,2026-08
100,2026-01-14,TikTok,India,Viewer,2026-01
101,2026-04-05,Organic,India,Viewer,2026-04
102,2026-02-17,YouTube,India,Creator,2026-02
103,2026-01-15,Paid Social,Canada,Creator,2026-01
104,2026-07-19,YouTube,India,Creator,2026-07
105,2026-07-25,Paid Social,Other,Viewer,2026-07
106,2026-08-03,Referral,United States,Creator,2026-08
107,2026-07-09,Organic,Other,Creator,2026-07
108,2026-02-09,Organic,India,Creator,2026-02
109,2026-08-01,TikTok,India,Creator,2026-08
110,2026-07-27,Organic,Nigeria,Creator,2026-07
111,2026-03-23,X,India,Creator,2026-03
112,2026-04-21,Paid Social,Germany,Creator,2026-04
113,2026-02-22,Referral,United States,Viewer,2026-02
114,2026-01-24,TikTok,United Kingdom,Creator,2026-01
115,2026-06-03,Organic,India,Creator,2026-06
116,2026-08-05,TikTok,United Kingdom,Viewer,2026-08
117,2026-07-07,Instagram,Nigeria,Viewer,2026-07
118,2026-05-04,TikTok,Canada,Creator,2026-05
119,2026-02-10,Organic,United States,Creator,2026-02
120,2026-06-06,Instagram,Other,Creator,2026-06
121,2026-01-15,Organic,Other,Creator,2026-01
122,2026-02-14,Paid Social,Other,Creator,2026-02
123,2026-03-06,Organic,Nigeria,Creator,2026-03
124,2026-03-30,Organic,United States,Viewer,2026-03
125,2026-03-12,Organic,India,Creator,2026-03
126,2026-01-09,TikTok,Other,Creator,2026-01
127,2026-03-29,YouTube,Other,Creator,2026-03
128,2026-05-09,Referral,India,Viewer,2026-05
129,2026-08-24,Instagram,United States,Creator,2026-08
130,2026-05-16,YouTube,Other,Viewer,2026-05
131,2026-08-04,TikTok,India,Creator,2026-08
132,2026-03-04,YouTube,India,Creator,2026-03
133,2026-05-19,Organic,Other,Creator,2026-05
134,2026-03-22,TikTok,Germany,Creator,2026-03
135,2026-05-16,Referral,Other,Creator,2026-05
136,2026-06-12,Referral,India,Viewer,2026-06
137,2026-06-12,YouTube,India,Viewer,2026-06
138,2026-02-02,Organic,United Kingdom,Creator,2026-02
139,2026-05-03,Organic,Nigeria,Creator,2026-05
140,2026-01-05,Paid Social,United States,Creator,2026-01
141,2026-08-22,Organic,Other,Creator,2026-08
142,2026-08-19,Organic,Other,Creator,2026-08
143,2026-02-10,Organic,United States,Creator,2026-02
144,2026-01-28,TikTok,India,Viewer,2026-01
145,2026-05-15,Organic,India,Viewer,2026-05
146,2026-07-20,Instagram,Nigeria,Creator,2026-07
147,2026-03-13,Instagram,India,Creator,2026-03
148,2026-01-12,Paid Social,United States,Creator,2026-01
149,2026-06-11,Organic,United States,Creator,2026-06
150,2026-02-02,TikTok,Other,Viewer,2026-02
151,2026-02-17,X,United States,Viewer,2026-02
152,2026-05-31,X,Nigeria,Creator,2026-05
153,2026-03-03,Instagram,Canada,Creator,2026-03
154,2026-08-04,Referral,Nigeria,Creator,2026-08
155,2026-02-06,Organic,Other,Creator,2026-02
156,2026-04-09,Referral,United Kingdom,Creator,2026-04
157,2026-06-21,Instagram,Other,Creator,2026-06
158,2026-04-14,Organic,India,Creator,2026-04
159,2026-08-02,Paid Social,Nigeria,Creator,2026-08
160,2026-08-07,YouTube,Nigeria,Creator,2026-08
161,2026-02-04,Organic,Other,Creator,2026-02
162,2026-07-12,Organic,India,Creator,2026-07
163,2026-08-15,Organic,India,Creator,2026-08
164,2026-04-11,X,United Kingdom,Creator,2026-04
165,2026-06-24,Organic,India,Creator,2026-06
166,2026-07-25,Organic,United Kingdom,Viewer,2026-07
167,2026-05-11,Organic,Other,Creator,2026-05
168,2026-01-01,YouTube,Other,Creator,2026-01
169,2026-01-05,Referral,India,Creator,2026-01
170,2026-08-06,Referral,India,Creator,2026-08
171,2026-05-22,Organic,Nigeria,Creator,2026-05
172,2026-04-13,Paid Social,Nigeria,Viewer,2026-04
173,2026-01-27,YouTube,United Kingdom,Creator,2026-01
174,2026-05-17,Paid Social,Canada,Viewer,2026-05
175,2026-07-26,Instagram,United Kingdom,Viewer,2026-07
176,2026-01-15,Instagram,India,Viewer,2026-01
177,2026-03-31,Referral,Canada,Creator,2026-03
178,2026-02-11,Organic,India,Creator,2026-02
179,2026-05-04,Instagram,India,Creator,2026-05
180,2026-07-24,Referral,Canada,Creator,2026-07
181,2026-06-28,Referral,Nigeria,Creator,2026-06
182,2026-03-04,Paid Social,United Kingdom,Viewer,2026-03
183,2026-04-06,YouTube,United States,Viewer,2026-04
184,2026-08-19,Organic,India,Creator,2026-08
185,2026-02-21,Organic,United States,Creator,2026-02
186,2026-04-06,Instagram,United Kingdom,Creator,2026-04
187,2026-05-12,Instagram,India,Creator,2026-05
188,2026-08-10,Organic,United Kingdom,Creator,2026-08
189,2026-08-17,Organic,Canada,Viewer,2026-08
190,2026-05-31,X,United States,Viewer,2026-05
191,2026-08-19,Referral,Other,Viewer,2026-08
192,2026-05-23,Paid Social,Germany,Creator,2026-05
193,2026-06-20,Referral,Other,Creator,2026-06
194,2026-01-29,Referral,United Kingdom,Viewer,2026-01
195,2026-02-05,X,United States,Viewer,2026-02
196,2026-01-13,Paid Social,Nigeria,Viewer,2026-01
197,2026-06-09,YouTube,United Kingdom,Creator,2026-06
198,2026-03-12,Referral,India,Viewer,2026-03
199,2026-07-06,Paid Social,Canada,Creator,2026-07
200,2026-03-27,Paid Social,Nigeria,Viewer,2026-03
201,2026-01-28,TikTok,India,Viewer,2026-01
202,2026-03-07,Organic,Nigeria,Creator,2026-03
203,2026-06-19,Organic,India,Viewer,2026-06
204,2026-02-14,Organic,India,Creator,2026-02
205,2026-03-03,Organic,Other,Viewer,2026-03
206,2026-07-04,Organic,Nigeria,Creator,2026-07
207,2026-05-14,TikTok,Nigeria,Creator,2026-05
208,2026-01-28,Instagram,India,Creator,2026-01
209,2026-01-28,YouTube,Nigeria,Creator,2026-01
210,2026-04-18,Organic,India,Viewer,2026-04
211,2026-02-13,YouTube,Canada,Creator,2026-02
212,2026-03-25,YouTube,Germany,Viewer,2026-03
213,2026-01-30,X,Germany,Viewer,2026-01
214,2026-07-09,Paid Social,India,Creator,2026-07
215,2026-03-16,Organic,Nigeria,Viewer,2026-03
216,2026-05-08,Organic,Germany,Creator,2026-05
217,2026-04-02,TikTok,India,Creator,2026-04
218,2026-08-05,Organic,India,Creator,2026-08
219,2026-08-19,X,Germany,Viewer,2026-08
220,2026-07-09,TikTok,Canada,Viewer,2026-07
221,2026-08-13,TikTok,United States,Creator,2026-08
222,2026-05-09,Organic,India,Viewer,2026-05
223,2026-05-01,TikTok,Nigeria,Creator,2026-05
224,2026-01-27,X,United States,Creator,2026-01
225,2026-07-09,X,Nigeria,Viewer,2026-07
226,2026-05-01,Organic,United States,Creator,2026-05
227,2026-04-26,Organic,Nigeria,Viewer,2026-04
228,2026-07-24,Organic,Canada,Creator,2026-07
229,2026-08-21,Organic,Canada,Creator,2026-08
230,2026-01-03,Referral,United Kingdom,Creator,2026-01
231,2026-04-13,Organic,India,Creator,2026-04
232,2026-07-17,Referral,United States,Creator,2026-07
233,2026-07-19,Referral,India,Creator,2026-07
234,2026-06-04,Organic,United States,Creator,2026-06
235,2026-05-17,Instagram,Other,Viewer,2026-05
236,2026-03-03,Paid Social,United Kingdom,Creator,2026-03
237,2026-06-14,Referral,India,Creator,2026-06
238,2026-08-13,Instagram,India,Creator,2026-08
239,2026-02-20,Referral,India,Creator,2026-02
240,2026-08-22,Referral,India,Creator,2026-08
241,2026-06-21,TikTok,Nigeria,Viewer,2026-06
242,2026-06-01,Paid Social,United States,Creator,2026-06
243,2026-07-26,Instagram,India,Creator,2026-07
244,2026-02-28,Instagram,India,Creator,2026-02
245,2026-04-28,Paid Social,United Kingdom,Creator,2026-04
246,2026-06-09,Referral,Nigeria,Viewer,2026-06
247,2026-04-06,TikTok,Germany,Viewer,2026-04
248,2026-08-04,Organic,India,Creator,2026-08
249,2026-08-21,X,Germany,Creator,2026-08
250,2026-06-29,YouTube,Nigeria,Creator,2026-06
251,2026-04-23,YouTube,India,Viewer,2026-04
252,2026-03-03,Paid Social,India,Creator,2026-03
253,2026-07-05,Referral,United States,Viewer,2026-07
254,2026-02-21,Instagram,United States,Creator,2026-02
255,2026-01-12,Organic,India,Creator,2026-01
256,2026-02-08,Instagram,Germany,Creator,2026-02
257,2026-05-10,YouTube,India,Creator,2026-05
258,2026-05-11,X,Nigeria,Creator,2026-05
259,2026-04-23,Instagram,United States,Creator,2026-04
260,2026-04-11,Instagram,Nigeria,Creator,2026-04
261,2026-04-23,TikTok,Other,Viewer,2026-04
262,2026-07-03,Organic,Other,Viewer,2026-07
263,2026-03-22,Instagram,India,Viewer,2026-03
264,2026-07-06,Organic,United States,Creator,2026-07
