content_id,snapshot_date,views,likes,comments,recreates,shares,avg_watch_seconds,watch_minutes
1,2026-08-31,426,29,4,2,0,11.42,81.08
2,2026-08-31,777,14,0,0,5,10.13,131.2
3,2026-08-31,248,4,0,0,4,5.34,22.09
4,2026-08-31,89,10,1,0,0,10.33,15.33
5,2026-08-31,555,27,10,0,11,7.75,71.69
6,2026-08-31,37624,2121,208,76,822,11.36,7122.53
7,2026-08-31,501,48,6,0,7,5.96,49.77
8,2026-08-31,2154,127,4,0,14,14.32,514.13
9,2026-08-31,8109,652,67,22,127,12.33,1667.0
10,2026-08-31,1089,71,6,0,14,6.96,126.24
11,2026-08-31,991,49,4,4,12,9.02,149.06
12,2026-08-31,5340,394,15,15,114,7.5,667.74
13,2026-08-31,2698,255,17,8,41,4.38,197.15
14,2026-08-31,381,38,3,1,7,10.16,64.5
15,2026-08-31,322,21,2,0,9,5.48,29.41
16,2026-08-31,3277,214,14,10,43,14.65,799.96
17,2026-08-31,814,60,1,1,6,13.19,178.96
18,2026-08-31,954,68,4,3,14,7.57,120.34
19,2026-08-31,1426,67,11,5,20,6.18,146.97
20,2026-08-31,2096,168,6,4,39,10.84,378.55
21,2026-08-31,342,12,0,0,1,7.33,41.79
22,2026-08-31,1584,135,11,6,8,9.9,261.24
23,2026-08-31,2153,142,12,4,19,6.97,250.01
24,2026-08-31,1605,48,4,5,10,4.58,122.42
25,2026-08-31,3615,208,11,4,48,6.47,390.03
26,2026-08-31,191,10,0,0,3,4.75,15.14
27,2026-08-31,290,9,0,1,2,8.01,38.73
28,2026-08-31,10614,990,59,37,124,9.16,1620.69
29,2026-08-31,93,4,0,0,1,7.91,12.26
30,2026-08-31,494,40,3,2,8,7.97,65.58
31,2026-08-31,8786,646,94,24,172,11.59,1697.48
32,2026-08-31,2068,122,2,3,22,5.59,192.52
33,2026-08-31,6486,590,41,36,17,8.61,930.96
34,2026-08-31,1706,115,8,1,17,10.51,298.95
35,2026-08-31,391,21,4,1,6,8.36,54.47
36,2026-08-31,5059,371,33,23,83,6.21,523.63
37,2026-08-31,518,46,2,1,8,10.49,90.59
38,2026-08-31,1878,87,11,6,18,7.36,230.27
39,2026-08-31,707,35,1,0,9,6.12,72.09
40,2026-08-31,3667,55,8,1,45,11.81,721.73
41,2026-08-31,2038,148,14,3,23,9.22,313.01
42,2026-08-31,684,39,4,0,2,8.61,98.2
43,2026-08-31,339,16,3,2,4,9.34,52.8
44,2026-08-31,738,61,5,1,15,4.14,50.91
45,2026-08-31,945,45,5,2,8,12.49,196.78
46,2026-08-31,238,20,4,0,3,6.46,25.63
47,2026-08-31,5887,417,24,22,69,9.03,886.32
48,2026-08-31,161,10,1,0,3,12.31,33.04
49,2026-08-31,1160,47,0,3,13,9.94,192.22
50,2026-08-31,932,80,9,4,18,4.6,71.5
51,2026-08-31,1128,80,10,1,13,17.72,333.05
52,2026-08-31,267,18,1,2,2,9.68,43.06
53,2026-08-31,8951,495,47,13,105,7.3,1089.75
54,2026-08-31,657,33,2,0,13,10.43,114.18
55,2026-08-31,1804,121,13,1,33,4.96,149.07
56,2026-08-31,179,12,2,1,3,8.3,24.76
57,2026-08-31,288,4,0,0,7,8.75,41.99
58,2026-08-31,111,5,1,0,3,10.6,19.61
59,2026-08-31,1610,191,21,18,11,8.72,233.97
60,2026-08-31,1184,118,16,2,8,5.02,99.05
61,2026-08-31,332,17,3,0,5,12.66,70.05
62,2026-08-31,6636,499,32,20,44,9.65,1067.09
63,2026-08-31,217,11,0,0,1,4.89,17.68
64,2026-08-31,13226,1112,101,32,181,14.19,3128.36
65,2026-08-31,432,23,1,0,3,7.1,51.08
66,2026-08-31,1446,93,1,4,15,6.41,154.56
67,2026-08-31,2557,197,14,6,30,6.43,273.95
68,2026-08-31,330,21,1,4,5,12.49,68.69
69,2026-08-31,86,2,0,0,1,13.47,19.31
70,2026-08-31,427,24,0,2,3,9.69,68.96
71,2026-08-31,623,26,1,0,7,7.59,78.77
72,2026-08-31,2278,195,8,6,13,10.87,412.59
73,2026-08-31,1096,44,2,2,27,10.89,198.96
74,2026-08-31,6019,270,24,2,103,3.47,347.74
75,2026-08-31,243,16,0,2,3,1.96,7.94
76,2026-08-31,885,56,10,5,7,10.49,154.75
77,2026-08-31,717,64,3,1,14,7.27,86.93
78,2026-08-31,1228,118,13,1,3,5.26,107.63
79,2026-08-31,2214,70,2,3,30,3.59,132.32
80,2026-08-31,124,14,1,0,0,3.31,6.84
81,2026-08-31,620,42,4,0,8,7.79,80.51
82,2026-08-31,1093,62,6,2,19,8.15,148.43
83,2026-08-31,155,11,1,1,1,7.13,18.41
84,2026-08-31,2328,139,10,0,27,8.03,311.63
85,2026-08-31,841,65,9,3,10,8.3,116.39
86,2026-08-31,680,42,4,1,0,8.08,91.55
87,2026-08-31,1956,96,0,2,29,4.83,157.54
88,2026-08-31,201,2,0,0,4,6.94,23.24
89,2026-08-31,316,29,3,0,2,7.07,37.23
90,2026-08-31,857,63,5,0,6,8.2,117.12
91,2026-08-31,291,12,0,2,4,10.99,53.29
