reward_id,creator_id,content_id,reward_date,reward_type,credits_earned
1,7730,33229,2026-06-12,Recreate,20
2,1091,29946,2026-08-27,Engagement Bonus,5
3,9936,25624,2026-08-16,Remix,10
4,3479,25813,2026-01-28,Engagement Bonus,5
5,50,35977,2026-05-30,Recreate,20
6,6961,34062,2026-07-20,Remix,10
7,5044,1063,2026-03-17,Remix,10
8,5233,55894,2026-08-17,Recreate,10
9,6212,14873,2026-01-23,Recreate,100
10,3514,28385,2026-01-25,Remix,5
11,3521,11868,2026-06-30,Remix,5
12,9639,17850,2026-02-16,Recreate,30
13,454,54625,2026-08-25,Recreate,100
14,8977,21456,2026-04-05,Recreate,50
15,7566,58189,2026-04-27,Recreate,10
16,496,7171,2026-01-17,Recreate,30
17,8052,17013,2026-05-02,Recreate,10
18,8350,24170,2026-04-17,Remix,50
19,874,44618,2026-05-06,Recreate,20
20,4487,48838,2026-03-06,Remix,30
21,4786,30574,2026-05-08,Remix,20
22,3244,54834,2026-08-25,Recreate,10
23,3093,32287,2026-02-03,Recreate,20
24,7968,57525,2026-07-29,Remix,100
25,9982,35226,2026-02-06,Remix,30
26,9507,43901,2026-07-23,Engagement Bonus,5
27,6276,29667,2026-02-28,Recreate,50
28,2273,12775,2026-01-14,Recreate,20
29,8588,7899,2026-04-29,Remix,10
30,5689,44328,2026-05-31,Recreate,5
31,7654,27345,2026-02-21,Recreate,20
32,4145,23707,2026-01-21,Remix,30
33,8477,50533,2026-04-27,Remix,5
34,9211,14610,2026-01-11,Engagement Bonus,10
35,9768,49995,2026-03-02,Recreate,20
36,6453,53378,2026-05-20,Recreate,20
37,3203,24530,2026-07-14,Recreate,5
38,3904,42255,2026-07-19,Recreate,5
39,9166,925,2026-03-20,Recreate,100
40,2570,22238,2026-01-18,Recreate,20
41,5279,42887,2026-03-24,Recreate,5
42,6044,44762,2026-02-28,Recreate,5
43,9864,15698,2026-04-07,Recreate,5
44,9130,9691,2026-02-02,Remix,50
45,3371,56690,2026-08-24,Remix,10
46,213,39984,2026-04-03,Recreate,100
47,5945,8966,2026-08-04,Engagement Bonus,10
48,9975,49557,2026-08-20,Remix,10
49,5414,35382,2026-01-30,Remix,10
50,3619,1071,2026-07-15,Recreate,20
51,9895,38804,2026-06-14,Remix,10
52,3583,11630,2026-03-13,Remix,10
53,8726,25704,2026-04-10,Recreate,20
54,2543,34303,2026-08-28,Recreate,20
55,212,27550,2026-04-28,Recreate,20
56,4584,55803,2026-06-13,Recreate,10
57,6652,40043,2026-02-04,Recreate,10
58,8724,1064,2026-07-22,Recreate,5
59,5476,42625,2026-08-25,Remix,50
60,5214,12359,2026-05-12,Remix,5
61,2691,9336,2026-06-13,Recreate,100
62,5047,37468,2026-07-22,Recreate,5
63,7957,20516,2026-08-23,Engagement Bonus,5
64,4547,10835,2026-01-16,Engagement Bonus,30
65,5819,37420,2026-08-19,Remix,50
66,291,52765,2026-08-25,Remix,20
67,1763,42063,2026-05-16,Recreate,5
68,2596,15793,2026-05-24,Remix,20
69,9652,32553,2026-01-04,Remix,10
70,8736,1261,2026-04-13,Recreate,100
71,9810,17866,2026-07-10,Recreate,50
72,2179,11970,2026-08-31,Remix,10
73,3564,29551,2026-07-04,Recreate,5
74,1824,28068,2026-08-19,Remix,5
75,6683,40234,2026-05-19,Recreate,5
76,3447,43083,2026-07-27,Remix,20
77,8163,56763,2026-02-25,Recreate,30
78,6464,29700,2026-05-27,Recreate,30
79,9602,39813,2026-07-22,Engagement Bonus,20
80,452,52351,2026-07-11,Recreate,5
81,7766,41232,2026-06-08,Recreate,10
82,3765,788,2026-07-06,Recreate,50
83,895,8277,2026-02-07,Engagement Bonus,10
84,1338,42059,2026-02-06,Recreate,10
85,3290,11363,2026-04-12,Engagement Bonus,20
86,6112,41602,2026-01-28,Recreate,20
87,5792,50932,2026-02-18,Remix,30
88,8863,47182,2026-04-23,Recreate,30
89,8109,49112,2026-03-09,Recreate,20
90,3205,43571,2026-08-13,Remix,10
91,8100,24970,2026-08-05,Remix,30
92,8821,28703,2026-06-14,Engagement Bonus,30
93,6530,39551,2026-06-06,Remix,5
94,2781,54172,2026-04-30,Recreate,10
95,8556,22778,2026-07-03,Recreate,10
96,9624,46279,2026-04-04,Recreate,10
97,9069,28026,2026-02-16,Remix,20
98,610,35866,2026-07-16,Recreate,100
99,6719,39163,2026-08-13,Remix,100
100,9655,21282,2026-06-21,Recreate,5
101,2057,53930,2026-03-21,Engagement Bonus,100
102,329,38014,2026-02-01,Recreate,5
103,4440,8711,2026-06-30,Remix,20
104,647,22397,2026-08-17,Recreate,5
105,7759,53044,2026-02-17,Recreate,20
106,2632,9161,2026-03-31,Engagement Bonus,20
107,1274,57696,2026-06-27,Recreate,10
108,2400,47428,2026-01-21,Recreate,30
109,6002,1863,2026-06-09,Remix,10
110,4428,1956,2026-07-28,Engagement Bonus,5
111,9173,52807,2026-02-21,Engagement Bonus,5
112,7099,45669,2026-03-26,Engagement Bonus,5
113,4977,35536,2026-03-09,Engagement Bonus,30
114,823,35171,2026-04-11,Recreate,20
115,6435,59632,2026-05-19,Engagement Bonus,5
116,4433,57239,2026-06-15,Engagement Bonus,10
117,8360,1592,2026-02-14,Engagement Bonus,5
118,6640,46892,2026-04-05,Remix,20
119,2871,35585,2026-02-23,Recreate,50
120,6170,104,2026-08-11,Remix,30
121,4768,2660,2026-07-15,Recreate,10
122,9999,14496,2026-03-27,Remix,10
123,4576,15022,2026-05-18,Recreate,20
124,5463,50272,2026-08-07,Recreate,10
125,3563,52416,2026-08-17,Recreate,10
126,3252,20147,2026-07-22,Recreate,5
127,1884,939,2026-05-11,Remix,20
128,3746,52583,2026-04-05,Remix,50
129,1742,53187,2026-02-13,Engagement Bonus,50
130,4528,41834,2026-02-24,Recreate,50
131,4206,18076,2026-05-31,Recreate,20
132,8776,53949,2026-01-15,Remix,100
133,4424,8439,2026-01-28,Remix,10
134,7369,16333,2026-01-31,Recreate,5
135,5117,2062,2026-07-23,Engagement Bonus,50
136,8264,7323,2026-06-17,Remix,5
137,2617,25319,2026-03-13,Remix,30
138,9858,22468,2026-06-21,Recreate,10
139,734,10184,2026-06-06,Recreate,20
140,1716,56215,2026-01-14,Recreate,20
141,7502,42685,2026-01-17,Recreate,5
142,3406,13214,2026-01-12,Recreate,30
143,3212,24351,2026-04-12,Remix,20
144,2530,31982,2026-08-17,Recreate,5
145,3012,16102,2026-01-11,Remix,5
146,7291,18696,2026-03-29,Recreate,20
147,3035,4113,2026-03-16,Engagement Bonus,10
148,1349,44279,2026-02-06,Recreate,5
149,4496,35778,2026-05-02,Engagement Bonus,5
150,3211,58649,2026-06-10,Recreate,5
151,4890,9994,2026-08-18,Remix,10
152,1059,12222,2026-01-26,Remix,10
153,4294,34848,2026-04-28,Remix,30
154,2240,22108,2026-05-22,Remix,30
155,4982,31611,2026-05-15,Recreate,20
156,1661,43054,2026-05-07,Engagement Bonus,20
157,2760,5117,2026-01-20,Remix,5
158,300,37497,2026-05-26,Remix,20
159,4647,38871,2026-06-24,Recreate,10
160,9206,7090,2026-03-08,Remix,5
161,6188,8953,2026-05-08,Recreate,5
162,4040,5049,2026-02-11,Remix,10
163,6750,6005,2026-04-26,Recreate,20
164,4861,49102,2026-01-18,Engagement Bonus,5
165,8007,11952,2026-08-21,Recreate,20
166,6839,22787,2026-07-17,Recreate,20
167,4304,9576,2026-04-29,Recreate,10
168,5337,44406,2026-06-03,Remix,10
169,5131,37913,2026-07-31,Recreate,100
170,1052,6002,2026-03-16,Engagement Bonus,10
171,1394,30415,2026-08-24,Remix,50
172,253,32720,2026-07-09,Remix,5
173,462,22729,2026-07-20,Engagement Bonus,30
174,5643,55442,2026-03-11,Recreate,30
175,6268,58254,2026-05-30,Recreate,20
176,4342,42416,2026-07-02,Recreate,10
177,9286,28292,2026-02-05,Recreate,10
178,7224,194,2026-08-20,Recreate,20
179,9813,51101,2026-06-15,Recreate,5
180,7457,35067,2026-01-30,Recreate,10
181,5903,42399,2026-08-06,Remix,30
182,4828,55833,2026-03-17,Engagement Bonus,5
183,6935,52674,2026-01-20,Remix,5
184,7217,56106,2026-01-17,Engagement Bonus,20
185,1922,36434,2026-08-21,Recreate,10
186,5856,57107,2026-02-08,Recreate,5
187,5535,44502,2026-01-05,Remix,30
188,2364,32153,2026-01-23,Recreate,20
189,5422,41502,2026-02-23,Engagement Bonus,20
190,891,39401,2026-07-12,Remix,10
191,6566,506,2026-02-11,Recreate,50
192,926,30775,2026-01-17,Recreate,50
193,1309,6487,2026-05-18,Recreate,100
194,1508,11197,2026-06-03,Recreate,20
195,9117,36178,2026-04-20,Recreate,30
196,4139,37933,2026-06-04,Recreate,5
197,9718,7658,2026-01-17,Recreate,10
198,7223,26487,2026-04-23,Remix,20
199,4297,21298,2026-05-18,Recreate,10
200,586,14111,2026-07-05,Recreate,50
201,1347,57627,2026-07-23,Recreate,5
202,6468,41229,2026-02-16,Recreate,50
203,3351,19323,2026-04-24,Remix,100
204,5607,3114,2026-05-06,Engagement Bonus,10
205,3395,46196,2026-01-15,Engagement Bonus,50
206,3489,45101,2026-05-17,Recreate,10
207,5847,25816,2026-05-19,Recreate,10
208,5395,47339,2026-02-03,Engagement Bonus,5
209,2167,30888,2026-05-17,Remix,20
210,5883,11818,2026-05-14,Engagement Bonus,5
211,7083,56585,2026-08-16,Remix,5
212,6128,42482,2026-01-25,Recreate,100
213,860,39559,2026-07-17,Recreate,10
214,1859,5812,2026-03-26,Recreate,5
215,1285,38427,2026-08-26,Recreate,10
216,6128,17516,2026-05-25,Recreate,5
217,636,59751,2026-08-27,Remix,5
218,9598,213,2026-01-11,Engagement Bonus,30
219,7071,32405,2026-03-22,Recreate,20
220,9912,6118,2026-06-14,Engagement Bonus,5
221,2892,27494,2026-03-16,Remix,50
222,3105,55853,2026-06-09,Recreate,10
223,3967,43590,2026-03-02,Remix,5
224,7749,36367,2026-04-07,Recreate,10
225,1283,46354,2026-03-31,Recreate,30
226,9375,42389,2026-03-17,Engagement Bonus,10
227,3743,57098,2026-08-05,Remix,30
228,6292,40952,2026-03-01,Recreate,30
229,7720,38158,2026-06-17,Engagement Bonus,30
230,8062,20640,2026-01-11,Recreate,100
231,7304,10109,2026-05-20,Remix,5
232,9131,47209,2026-07-22,Engagement Bonus,5
233,231,38999,2026-03-05,Engagement Bonus,5
234,5813,11822,2026-03-26,Engagement Bonus,20
235,4309,35081,2026-05-25,Recreate,100
236,9994,31583,2026-01-16,Recreate,5
237,5563,14883,2026-06-06,Engagement Bonus,5
238,846,1395,2026-07-16,Recreate,30
239,6776,17456,2026-06-10,Recreate,5
240,7394,56411,2026-07-18,Remix,5
241,2120,34908,2026-02-01,Remix,5
242,3963,33891,2026-06-14,Recreate,10
243,3961,4204,2026-08-13,Remix,20
244,7991,9640,2026-08-15,Recreate,5
245,387,50487,2026-01-15,Remix,50
246,5682,54082,2026-07-22,Recreate,5
247,2209,5660,2026-04-11,Recreate,50
248,3830,3233,2026-05-21,Recreate,100
249,5943,34659,2026-03-06,Recreate,10
250,8917,5323,2026-05-31,Remix,10
251,5704,28772,2026-01-02,Recreate,50
252,4589,12597,2026-07-04,Recreate,10
253,2141,7179,2026-04-27,Recreate,20
254,1140,33629,2026-04-28,Recreate,10
255,4045,43295,2026-05-14,Engagement Bonus,10
256,806,21352,2026-02-26,Recreate,5
257,7651,1158,2026-04-20,Recreate,10
258,8712,15144,2026-06-03,Engagement Bonus,5
259,692,27276,2026-03-21,Recreate,50
260,5597,16605,2026-08-14,Recreate,50
261,7338,16828,2026-08-11,Engagement Bonus,20
262,5782,56415,2026-03-26,Recreate,10
263,8776,21542,2026-03-25,Engagement Bonus,5
264,3567,7449,2026-01-20,Remix,10
265,7564,651,2026-01-24,Engagement Bonus,100
266,84,3373,2026-06-17,Recreate,5
267,5866,31552,2026-04-10,Recreate,10
268,150,33345,2026-01-24,Remix,20
269,5700,4947,2026-07-20,Recreate,10
270,8776,21542,2026-05-17,Recreate,30
271,3138,20509,2026-03-07,Recreate,10
272,3874,2057,2026-02-22,Engagement Bonus,5
273,3027,22770,2026-04-14,Remix,30
274,9781,28602,2026-06-20,Recreate,20
275,3923,28194,2026-05-22,Recreate,10
276,2918,39560,2026-08-16,Recreate,10
277,7568,22917,2026-07-24,Recreate,10
278,8387,6897,2026-02-07,Engagement Bonus,10
279,4113,45154,2026-01-09,Recreate,10
280,5047,18333,2026-04-07,Recreate,5
281,2642,14825,2026-02-14,Engagement Bonus,5
282,7456,58969,2026-06-28,Recreate,5
283,2135,34366,2026-04-05,Recreate,10
284,2022,15175,2026-03-11,Remix,5
285,2402,56167,2026-04-05,Remix,50
286,7987,8527,2026-01-02,Recreate,5
287,1223,7769,2026-01-01,Engagement Bonus,20
288,5018,37119,2026-04-26,Recreate,30
289,8826,28185,2026-02-26,Recreate,20
290,7197,47270,2026-05-24,Recreate,10
291,8172,8773,2026-01-13,Recreate,100
292,7684,45076,2026-06-10,Remix,10
293,6741,32784,2026-01-24,Recreate,100
294,8152,49767,2026-05-01,Recreate,50
295,4481,14664,2026-05-28,Recreate,20
296,6754,50845,2026-01-29,Recreate,30
297,9475,9724,2026-05-06,Recreate,100
298,8054,15438,2026-04-24,Recreate,20
299,493,40026,2026-08-26,Recreate,5
300,5873,40191,2026-04-21,Remix,5
301,2913,22615,2026-04-21,Recreate,5
302,9334,31986,2026-02-10,Engagement Bonus,10
303,2162,42374,2026-07-17,Engagement Bonus,10
304,586,6447,2026-06-20,Remix,5
305,7798,19589,2026-07-17,Engagement Bonus,10
306,7884,57629,2026-04-03,Remix,5
307,7735,5038,2026-06-26,Recreate,10
308,9408,36667,2026-04-01,Recreate,10
309,9068,54461,2026-03-18,Remix,10
310,8887,11846,2026-05-22,Remix,5
311,5046,50523,2026-03-25,Recreate,30
312,5286,39834,2026-07-31,Recreate,5
313,933,53804,2026-02-23,Recreate,5
314,5916,43974,2026-06-15,Remix,5
315,2967,15389,2026-02-24,Recreate,10
316,5229,48421,2026-06-01,Remix,50
317,1203,2160,2026-08-09,Recreate,10
318,3892,2988,2026-03-20,Remix,5
319,634,45860,2026-07-16,Recreate,10
320,8442,46686,2026-07-03,Remix,20
321,8244,49708,2026-04-16,Remix,30
322,605,42140,2026-01-19,Recreate,30
323,4519,57503,2026-05-07,Recreate,30
324,5210,17434,2026-04-07,Recreate,5
325,112,28841,2026-06-10,Recreate,50
326,8544,40378,2026-01-24,Remix,20
327,1397,5588,2026-04-04,Remix,100
328,129,40756,2026-01-17,Recreate,30
329,1824,59824,2026-01-08,Recreate,30
330,2459,5316,2026-03-20,Recreate,5
331,6608,57586,2026-02-23,Recreate,5
332,6628,34902,2026-06-30,Recreate,20
333,4861,49102,2026-04-22,Recreate,10
334,7181,34177,2026-06-10,Remix,5
335,3069,10616,2026-05-13,Recreate,50
336,710,22731,2026-01-04,Recreate,10
337,8194,15776,2026-07-08,Remix,5
338,2228,13105,2026-06-01,Remix,5
