transaction_id,user_id,transaction_date,package,amount_usd,credits_purchased
1,3851,2026-02-02,Max,199.99,3500
2,7953,2026-02-09,Popular,24.99,300
3,10503,2026-03-27,Studio,499.99,10000
4,7590,2026-06-16,Creator,49.99,700
5,14318,2026-07-16,Popular,24.99,300
6,11202,2026-02-16,Starter,9.99,110
7,8024,2026-03-09,Starter,9.99,110
8,12121,2026-03-30,Creator,49.99,700
9,8856,2026-02-07,Pro,99.99,1600
10,2340,2026-01-10,Mini,4.99,50
11,8105,2026-07-23,Creator,49.99,700
12,2163,2026-06-20,Popular,24.99,300
13,8645,2026-02-18,Max,199.99,3500
14,7317,2026-07-03,Creator,49.99,700
15,6122,2026-03-26,Creator,49.99,700
16,919,2026-03-04,Creator,49.99,700
17,13598,2026-07-02,Mini,4.99,50
18,452,2026-06-21,Mini,4.99,50
19,4677,2026-07-17,Popular,24.99,300
20,9419,2026-07-12,Pro,99.99,1600
21,4111,2026-06-20,Popular,24.99,300
22,7601,2026-04-05,Mini,4.99,50
23,11959,2026-04-19,Creator,49.99,700
24,372,2026-08-21,Starter,9.99,110
25,3327,2026-08-10,Creator,49.99,700
26,13754,2026-03-13,Creator,49.99,700
27,5075,2026-02-05,Popular,24.99,300
28,12759,2026-02-10,Starter,9.99,110
29,6696,2026-07-27,Popular,24.99,300
30,11481,2026-03-29,Popular,24.99,300
31,7269,2026-04-02,Max,199.99,3500
32,6446,2026-05-24,Starter,9.99,110
33,2296,2026-07-17,Popular,24.99,300
34,14911,2026-01-26,Popular,24.99,300
35,13272,2026-05-01,Starter,9.99,110
36,2271,2026-03-08,Popular,24.99,300
37,3261,2026-08-15,Creator,49.99,700
38,6978,2026-05-31,Mini,4.99,50
39,11084,2026-08-29,Pro,99.99,1600
40,337,2026-02-25,Mini,4.99,50
41,11373,2026-03-28,Popular,24.99,300
42,6938,2026-08-02,Starter,9.99,110
43,1383,2026-06-24,Creator,49.99,700
44,11951,2026-02-25,Max,199.99,3500
45,9994,2026-08-20,Max,199.99,3500
46,1378,2026-01-29,Popular,24.99,300
47,1819,2026-03-17,Pro,99.99,1600
48,605,2026-01-01,Starter,9.99,110
49,1966,2026-04-18,Mini,4.99,50
50,1362,2026-01-14,Creator,49.99,700
51,11330,2026-05-15,Starter,9.99,110
