event_id,user_id,event_date,event_type,content_id
1,5687,2026-02-18,recreate,45191
2,8996,2026-07-19,view,23571
3,7360,2026-04-19,follow,
4,9053,2026-03-09,create,
5,12941,2026-04-05,recreate,48240
6,2185,2026-06-05,follow,
7,5914,2026-01-01,view,56053
8,12348,2026-07-25,view,30283
9,8125,2026-03-18,follow,
10,8485,2026-03-02,like,59302
11,3833,2026-07-10,view,35543
12,5040,2026-06-11,view,48264
13,2038,2026-02-01,remix,36340
14,6662,2026-07-05,create,
15,6366,2026-01-24,publish,8376
16,9913,2026-07-30,view,12929
17,9188,2026-03-09,view,54357
18,13854,2026-03-08,like,47046
19,2588,2026-01-19,recreate,52776
20,3540,2026-03-28,recreate,6045
21,10377,2026-07-12,view,30576
22,1121,2026-01-09,view,8121
23,6649,2026-01-14,like,42434
24,451,2026-04-24,recreate,34197
25,14764,2026-04-23,view,10741
26,12210,2026-05-15,view,10338
27,3711,2026-01-14,like,47381
28,10163,2026-01-13,view,40432
29,8500,2026-05-17,comment,16124
30,5197,2026-03-29,view,16824
31,11834,2026-03-20,recreate,12968
32,10235,2026-06-18,create,
33,2050,2026-08-03,comment,8296
34,7945,2026-06-18,follow,
35,9715,2026-01-29,signup,
36,10360,2026-07-05,publish,25344
37,4443,2026-04-15,view,6036
38,7971,2026-01-08,remix,35290
39,12523,2026-03-15,like,1546
40,6539,2026-07-20,view,20319
41,4132,2026-07-14,wallet_purchase,
42,8919,2026-07-18,create,
43,1363,2026-05-01,view,1658
44,13201,2026-06-03,view,21269
45,290,2026-04-10,remix,18827
46,12619,2026-07-23,view,47286
47,3600,2026-07-15,wallet_purchase,
48,7328,2026-04-13,publish,56695
49,3755,2026-06-13,view,24232
50,13812,2026-06-26,view,2195
51,2451,2026-03-10,publish,54638
52,4826,2026-02-28,create,
53,3965,2026-03-01,view,57603
54,2961,2026-03-13,view,44322
55,7849,2026-01-14,recreate,48639
56,2954,2026-07-08,create,
57,10517,2026-04-09,like,7163
58,12366,2026-02-26,view,25156
59,3767,2026-03-09,follow,
60,2057,2026-05-23,comment,41421
61,3144,2026-04-09,view,9596
62,3357,2026-06-02,like,31991
63,433,2026-07-29,view,18884
64,6169,2026-06-01,view,14620
65,9378,2026-02-21,like,50132
66,9337,2026-04-28,remix,6689
67,14549,2026-07-18,comment,29519
68,7152,2026-08-08,view,44343
69,5246,2026-05-13,like,45458
70,13092,2026-08-19,create,
71,13474,2026-03-25,view,47032
72,422,2026-03-16,view,46984
73,11645,2026-04-24,publish,27018
74,9106,2026-06-06,like,27192
75,1092,2026-02-26,view,7139
76,10732,2026-03-17,comment,27193
77,5308,2026-02-11,comment,9881
78,1200,2026-05-05,view,16390
79,11987,2026-03-10,view,2382
80,12949,2026-07-28,wallet_purchase,
81,6977,2026-06-09,view,24742
82,11780,2026-06-13,recreate,12821
83,1149,2026-06-29,follow,
84,10440,2026-06-27,view,21264
85,1273,2026-06-16,wallet_purchase,
86,14904,2026-08-05,view,2893
87,10158,2026-02-19,view,55490
88,12207,2026-08-30,comment,45553
89,5980,2026-08-24,like,37638
90,650,2026-08-08,view,37648
91,14563,2026-07-03,view,53899
92,719,2026-01-14,view,11083
93,14916,2026-04-20,create,
94,13235,2026-04-09,create,
95,13476,2026-01-31,view,54286
96,11740,2026-07-01,view,29898
97,5224,2026-06-09,publish,50642
98,1287,2026-08-18,like,23968
99,8134,2026-03-04,follow,
100,6933,2026-07-08,view,49238
101,4898,2026-06-03,view,14703
102,12226,2026-01-26,create,
103,14777,2026-07-09,view,42148
104,6396,2026-06-20,view,40024
105,9746,2026-05-01,recreate,12507
106,9304,2026-03-15,view,8194
107,8117,2026-04-23,comment,6889
108,4278,2026-07-21,publish,45517
109,9621,2026-02-10,view,53216
110,10894,2026-01-30,view,24747
111,10735,2026-01-25,like,23026
112,4048,2026-07-01,view,29185
113,721,2026-07-02,create,
114,14971,2026-03-13,view,47960
115,14576,2026-05-10,view,26895
116,8250,2026-08-13,publish,11328
117,4431,2026-06-23,like,7248
118,13802,2026-03-04,follow,
119,3565,2026-05-02,like,9717
120,524,2026-04-23,view,18424
121,2575,2026-05-04,follow,
122,11831,2026-07-29,view,3273
123,4505,2026-01-22,like,24781
124,6420,2026-08-15,follow,
125,1679,2026-08-18,view,52330
126,4093,2026-05-14,like,53299
127,1461,2026-04-12,create,
128,6501,2026-02-26,view,18211
129,11704,2026-08-07,recreate,54975
130,8596,2026-02-10,view,38161
131,6040,2026-02-11,view,7352
132,13934,2026-01-04,comment,2820
133,2873,2026-05-15,like,23307
134,1567,2026-06-12,recreate,59445
135,8319,2026-05-12,view,44122
136,12918,2026-05-11,create,
137,5963,2026-05-24,create,
138,8344,2026-07-23,like,31598
139,1468,2026-04-10,like,52709
140,8666,2026-03-06,publish,54939
141,9218,2026-05-28,like,31583
142,13359,2026-05-07,publish,52700
143,8415,2026-05-27,like,16653
144,8057,2026-02-25,like,12852
145,2373,2026-02-24,like,12283
146,7392,2026-01-02,follow,
147,819,2026-08-19,view,29672
148,5971,2026-06-04,follow,
149,4235,2026-03-26,like,23852
150,12141,2026-01-08,view,48401
151,6134,2026-07-03,view,21984
152,7186,2026-07-17,view,37831
153,4425,2026-01-07,like,2367
154,9305,2026-07-01,view,56046
155,6271,2026-01-09,publish,9895
156,14955,2026-03-14,view,31540
157,9422,2026-05-06,publish,18033
158,12616,2026-02-14,view,15092
159,1522,2026-03-27,like,21846
160,4556,2026-06-15,create,
161,4160,2026-01-01,comment,46400
162,14760,2026-03-08,view,55658
163,12311,2026-08-08,view,38676
164,14375,2026-01-19,view,12305
165,2273,2026-01-02,signup,
166,2635,2026-07-13,publish,3015
167,8136,2026-02-25,view,49630
168,13373,2026-07-16,view,40442
169,8280,2026-02-04,comment,32260
170,8117,2026-01-22,recreate,48698
171,11271,2026-04-03,follow,
172,12332,2026-05-25,view,41709
173,12263,2026-05-18,view,6525
174,10012,2026-05-21,view,40768
175,1832,2026-06-13,view,54348
176,7212,2026-08-16,comment,59711
177,6386,2026-04-19,view,8747
178,5326,2026-03-10,like,45968
179,14285,2026-06-06,wallet_purchase,
180,233,2026-07-17,recreate,5976
181,3748,2026-05-17,follow,
182,4054,2026-07-07,recreate,20085
183,11742,2026-07-27,like,35630
184,914,2026-06-19,like,17255
185,7701,2026-04-07,view,58098
186,5450,2026-06-13,follow,
187,6220,2026-01-01,view,31762
188,7440,2026-07-08,view,10044
189,4192,2026-05-29,view,47685
190,6118,2026-02-10,view,18559
191,2144,2026-03-27,view,38199
192,9090,2026-08-24,view,4703
193,11347,2026-02-09,publish,58794
194,1923,2026-06-02,view,4594
195,7373,2026-08-08,recreate,13584
196,12790,2026-05-20,comment,40719
197,9321,2026-03-27,follow,
198,13601,2026-02-11,view,43794
199,5842,2026-01-12,follow,
200,11459,2026-03-17,recreate,42707
201,13481,2026-02-23,publish,29025
202,4490,2026-05-18,view,30763
203,10493,2026-01-06,publish,4834
204,13944,2026-01-21,follow,
205,2465,2026-05-21,create,
206,14251,2026-03-16,like,18297
207,2258,2026-02-03,follow,
208,13696,2026-01-30,publish,415
209,3779,2026-03-26,create,
210,7791,2026-01-01,view,32025
211,9675,2026-06-11,comment,35832
212,5090,2026-02-14,recreate,44530
213,13457,2026-02-22,view,12502
214,13666,2026-08-23,comment,49463
215,8211,2026-06-22,view,10260
216,1372,2026-07-16,like,8283
217,622,2026-07-07,recreate,11533
218,11775,2026-01-30,view,4012
219,7983,2026-07-18,view,44247
220,3225,2026-02-04,view,14723
221,1980,2026-03-22,view,32393
222,6932,2026-03-04,view,45283
223,7074,2026-08-08,follow,
224,11338,2026-03-29,view,53464
225,9972,2026-06-30,recreate,49394
226,13980,2026-06-17,like,30011
227,500,2026-07-27,like,50504
228,2686,2026-03-18,publish,40817
229,684,2026-07-09,publish,42720
230,3341,2026-04-01,comment,30399
231,8347,2026-03-09,recreate,3890
232,6553,2026-01-17,view,37959
233,871,2026-02-09,like,20553
234,13034,2026-08-14,publish,33732
235,10327,2026-01-01,view,34023
236,14333,2026-06-16,view,34798
237,11341,2026-07-13,create,
238,3974,2026-06-24,remix,53474
239,5120,2026-04-17,follow,
240,2544,2026-03-23,like,13411
241,14627,2026-08-11,recreate,7290
242,10932,2026-04-24,view,56411
243,11807,2026-05-02,recreate,52930
244,1953,2026-07-09,view,5974
245,10003,2026-06-26,view,31530
246,3843,2026-08-02,like,24556
247,7953,2026-01-15,like,46718
248,5258,2026-02-10,like,29914
249,5327,2026-05-12,comment,41039
250,7545,2026-03-12,like,37816
251,10430,2026-02-21,wallet_purchase,
252,5590,2026-08-27,publish,51382
253,1571,2026-07-07,view,19898
254,4987,2026-04-30,publish,710
255,13470,2026-04-10,view,15684
256,7699,2026-03-07,view,18262
257,6977,2026-02-04,view,32087
258,8770,2026-04-03,remix,53729
259,1897,2026-05-08,publish,32788
260,14780,2026-06-15,create,
261,9114,2026-08-21,wallet_purchase,
262,11446,2026-01-02,create,
263,9841,2026-03-10,remix,42559
264,3604,2026-03-18,like,59881
265,10207,2026-07-26,comment,6750
266,2535,2026-03-26,like,45223
267,11795,2026-01-08,like,4186
268,14626,2026-05-02,create,
269,10722,2026-06-03,wallet_purchase,
270,14222,2026-08-07,remix,13651
271,5921,2026-05-18,view,36279
272,13367,2026-08-31,recreate,18598
273,1685,2026-03-21,view,52982
274,9630,2026-03-08,view,59422
275,3028,2026-06-30,view,16393
276,7735,2026-03-16,view,41278
277,6272,2026-08-21,view,23721
278,10429,2026-07-23,view,1028
279,4320,2026-04-30,recreate,16309
280,13866,2026-01-30,publish,54443
281,1516,2026-08-27,view,56675
282,4054,2026-05-03,recreate,24139
283,3182,2026-03-09,view,15645
284,14713,2026-03-29,like,13303
285,9682,2026-07-15,view,54090
286,2683,2026-05-26,view,5043
287,9201,2026-04-01,view,30332
288,1824,2026-08-25,view,4
289,11316,2026-04-12,follow,
290,5820,2026-06-06,view,40576
291,4997,2026-02-09,view,43348
292,9645,2026-06-29,view,5371
293,79,2026-04-13,view,14594
294,1435,2026-07-23,like,33000
295,347,2026-04-17,view,39229
296,880,2026-01-19,signup,
297,1294,2026-04-21,like,24271
298,3416,2026-03-21,view,58599
299,3598,2026-04-14,like,51146
300,8444,2026-01-31,follow,
301,9948,2026-04-15,like,33912
302,13554,2026-05-24,view,54711
303,13003,2026-02-20,view,52863
304,12742,2026-02-28,view,45127
305,14550,2026-02-11,create,
306,4656,2026-04-05,view,21535
307,6936,2026-04-01,view,14291
308,931,2026-02-26,view,36737
309,7344,2026-07-07,view,8067
310,1766,2026-03-18,wallet_purchase,
311,4415,2026-03-09,view,21044
312,11015,2026-02-18,create,
